Change,Analyst,Recommendation,Date
Maintains,Oppenheimer, to Perform,1/23/2013
Downgrade,Hudson Square, Buy to Hold,1/18/2013
Maintains,Nomura, to Buy,1/18/2013
Maintains,Morgan Stanley, to Overweight,1/15/2013
Maintains,Bank of America, to Neutral,1/8/2013
Maintains,Pivotal Research, to Buy,1/7/2013
Maintains,Oppenheimer, to Perform,1/2/2013
Upgrade,Oracle Investment Research, Hold to,11/29/2012
Downgrade,Hilliard Lyons, Buy to Long-Term Buy,10/19/2012
Maintains,Barclays, to Overweight,10/19/2012
Maintains,Canaccord Genuity, to Buy,10/19/2012
Maintains,Wedbush, to Neutral,10/19/2012
Maintains,Credit Suisse, to Outperform,10/19/2012
Maintains,Nomura, to Buy,10/19/2012
Downgrade,Bank of America, Buy to Neutral,10/19/2012
Maintains,Citigroup, to Buy,10/19/2012
Downgrade,Oppenheimer, Outperform to Perform,10/19/2012
Maintains,Wedbush, to Neutral,10/17/2012
Maintains,PiperJaffray, to Overweight,10/15/2012
Maintains,Oppenheimer, to Outperform,10/15/2012
Maintains,JP Morgan, to Overweight,10/12/2012
Maintains,ThinkEquity, to Buy,10/11/2012
Maintains,Nomura, to Buy,10/11/2012
Downgrade,Oracle Investment Research, Buy to Hold,9/26/2012
Maintains,Canaccord Genuity, to Buy,9/26/2012
Maintains,Capstone, to Buy,9/25/2012
Maintains,Pivotal Research, to Buy,9/24/2012
Maintains,Citigroup, to Buy,9/24/2012
Initiated,Cantor Fitzgerald, to Buy,9/21/2012
Maintains,Global Equities Research, to Overweight,9/17/2012
Upgrade,Morgan Stanley, Equal-Weight to Overweight,8/13/2012
Maintains,Bank of America, to Buy,7/20/2012
Maintains,Deutsche Bank, to Buy,7/20/2012
Maintains,Benchmark, to Hold,7/20/2012
Maintains,, to Outperform,7/17/2012
Initiated,Wedbush, to Neutral,7/13/2012
Maintains,Citigroup, to Buy,6/22/2012
Maintains,JP Morgan, to Overweight,6/6/2012
Maintains,Deutsche Bank, to Buy,6/6/2012
Maintains,Hilliard Lyons, to Buy,4/16/2012
Maintains,BMO Capital, to Outperform,4/13/2012
Maintains,Benchmark, to Hold,4/13/2012
Maintains,Oppenheimer, to Outperform,4/13/2012
Maintains,JP Morgan, to Overweight,4/13/2012
Maintains,Goldman Sachs, to Neutral,4/13/2012
Maintains,PiperJaffray, to Overweight,4/13/2012
Maintains,Jefferies, to Buy,4/13/2012
Maintains,Deutsche Bank, to Buy,4/13/2012
Maintains,UBS, to Buy,4/10/2012
Maintains,Pivotal Research, to Buy,4/9/2012
Maintains,Deutsche Bank, to Buy,4/5/2012
Maintains,Global Equities Research, to Overweight,4/3/2012
Maintains,Citigroup, to Buy,3/28/2012
Initiated,Oxen Group, to Hold,3/14/2012
